DATE,VA
2016-01-01,4633030.55
2016-01-02,6059038.45
2016-01-03,7887856.1
2016-01-04,10518659.4
2016-01-05,12551328.7
2016-01-06,9698065.55
2016-01-07,8916885.35
2016-01-08,8956906.65
2016-01-09,6171986.75
2016-01-10,8966869.85
2016-01-11,10586929.25
2016-01-12,9558945.1
2016-01-13,9085840.75
2016-01-14,8807615.15
2016-01-15,7887635.35
2016-01-16,5582434.0
2016-01-17,8510634.95
2016-01-18,10041521.75
2016-01-19,9234951.1
2016-01-20,9043393.15
2016-01-21,8215690.5
2016-01-22,7621581.05
2016-01-23,5525241.75
2016-01-24,8225427.65
2016-01-25,10353689.35
2016-01-26,9132286.8
2016-01-27,9176762.5
2016-01-28,8897437.6
2016-01-29,7958052.8
2016-01-30,6116585.6
2016-01-31,9902660.1
2016-02-01,10104241.05
2016-02-02,10390793.25
2016-02-03,9231320.2
2016-02-04,8659760.6
2016-02-05,7939490.95
2016-02-06,5891659.9
2016-02-07,8702579.2
2016-02-08,10075213.4
2016-02-09,8750263.25
2016-02-10,8724318.6
2016-02-11,8226240.45
2016-02-12,7723625.7
2016-02-13,5756622.1
2016-02-14,7897074.05
2016-02-15,9548175.45
2016-02-16,9286056.25
2016-02-17,8444902.3
2016-02-18,9159362.95
2016-02-19,7754638.65
2016-02-20,6070644.7
2016-02-21,7888927.0
2016-02-22,9832776.05
2016-02-23,8858072.15
2016-02-24,8745894.5
2016-02-25,8370583.45
2016-02-26,7825219.1
2016-02-27,5931672.4
2016-02-28,8428181.55
2016-02-29,10474854.65
2016-03-01,10004789.45
2016-03-02,9690725.35
2016-03-03,9382581.25
2016-03-04,8349239.65
2016-03-05,6415654.4
2016-03-06,9155778.7
2016-03-07,10555486.0
2016-03-08,9611352.3
2016-03-09,9655126.0
2016-03-10,9142909.6
2016-03-11,8339194.85
2016-03-12,6084072.0
2016-03-13,9140875.85
2016-03-14,11170649.15
2016-03-15,9734709.95
2016-03-16,9706081.95
2016-03-17,8997853.0
2016-03-18,8342528.9
2016-03-19,6404030.0
2016-03-20,10397784.25
2016-03-21,11540214.05
2016-03-22,9123239.75
2016-03-23,8981014.15
2016-03-24,8770497.15
2016-03-25,8044698.05
2016-03-26,5245482.4
2016-03-27,5448288.25
2016-03-28,9436769.6
2016-03-29,10667843.45
2016-03-30,10200593.15
2016-03-31,16254011.4
2016-04-01,10321475.75
2016-04-02,7520054.8
2016-04-03,10225409.8
2016-04-04,11895519.8
2016-04-05,10746184.75
2016-04-06,10287153.8
2016-04-07,9633119.95
2016-04-08,8659065.3
2016-04-09,6574929.4
2016-04-10,8938282.55
2016-04-11,11132712.75
2016-04-12,9910196.3
2016-04-13,9616715.35
2016-04-14,8915679.75
2016-04-15,8376795.85
2016-04-16,6370339.25
2016-04-17,8622559.3
2016-04-18,10524353.5
2016-04-19,9236094.05
2016-04-20,9252570.65
2016-04-21,8704984.75
2016-04-22,7896779.15
2016-04-23,5791748.5
2016-04-24,8296838.7
2016-04-25,9829930.25
2016-04-26,9021461.65
2016-04-27,9319638.3
2016-04-28,8939855.1
2016-04-29,8240523.0
2016-04-30,6383476.5
2016-05-01,9284155.05
2016-05-02,10926788.05
2016-05-03,10081385.1
2016-05-04,9226743.0
2016-05-05,6427492.65
2016-05-06,6430919.7
2016-05-07,5184066.95
2016-05-08,8326378.25
2016-05-09,11602593.45
2016-05-10,10023919.05
2016-05-11,10193366.55
2016-05-12,9888786.4
2016-05-13,8475375.65
2016-05-14,5294358.35
2016-05-15,5546376.35
2016-05-16,9090293.45
2016-05-17,9935782.25
2016-05-18,9702551.4
2016-05-19,8856484.85
2016-05-20,9685733.1
2016-05-21,5344394.6
2016-05-22,8789222.25
2016-05-23,10757015.1
2016-05-24,10655544.6
2016-05-25,9402836.7
2016-05-26,8514315.15
2016-05-27,8195220.3
2016-05-28,5505260.8
2016-05-29,8782551.35
2016-05-30,10822287.95
2016-05-31,9917839.8
2016-06-01,9539965.55
2016-06-02,9027316.1
2016-06-03,8430257.35
2016-06-04,5809243.0
2016-06-05,8371411.6
2016-06-06,10817907.95
2016-06-07,9841056.55
2016-06-08,9615147.0
2016-06-09,9041915.1
2016-06-10,8277510.6
2016-06-11,6331591.3
2016-06-12,9326286.4
2016-06-13,11385953.9
2016-06-14,10299855.7
2016-06-15,9512061.85
2016-06-16,9308168.75
2016-06-17,8383163.4
2016-06-18,6154548.65
2016-06-19,8897130.2
2016-06-20,11591737.1
2016-06-21,9729698.88
2016-06-22,9586991.4
2016-06-23,9425696.35
2016-06-24,8519553.2
2016-06-25,6365362.1
2016-06-26,9131803.6
2016-06-27,12101298.0
2016-06-28,11268977.4
2016-06-29,10921108.0
2016-06-30,10400599.15
2016-07-01,9802987.9
2016-07-02,7236696.85
2016-07-03,9685518.5
2016-07-04,12805546.85
2016-07-05,12189624.1
2016-07-06,11321553.59
2016-07-07,9672310.85
2016-07-08,9722118.45
2016-07-09,7246625.9
2016-07-10,7989282.4
2016-07-11,11099522.6
2016-07-12,10871164.5
2016-07-13,9390621.4
2016-07-14,7293002.75
2016-07-15,6460761.15
2016-07-16,5396180.7
2016-07-17,7470472.45
2016-07-18,10178018.0
2016-07-19,9079627.8
2016-07-20,8820220.05
2016-07-21,8275278.85
2016-07-22,7774729.5
2016-07-23,5729544.05
2016-07-24,7065569.45
2016-07-25,9255941.6
2016-07-26,8345742.8
2016-07-27,8594089.9
2016-07-28,8881207.15
2016-07-29,8397605.05
2016-07-30,6404142.3
2016-07-31,7425923.89
2016-08-01,9056293.2
2016-08-02,8333184.5
2016-08-03,7737215.1
2016-08-04,7488591.75
2016-08-05,6893551.05
2016-08-06,5236223.1
2016-08-07,5970157.9
2016-08-08,7711055.44
2016-08-09,7334509.3
2016-08-10,7062845.95
2016-08-11,6781444.66
2016-08-12,6107799.6
2016-08-13,4666739.75
2016-08-14,4678663.35
2016-08-15,5914739.45
2016-08-16,7146115.15
2016-08-17,7082271.1
2016-08-18,7067782.49
2016-08-19,6483885.55
2016-08-20,5190383.6
2016-08-21,6004704.6
2016-08-22,8261258.55
2016-08-23,7809613.25
2016-08-24,7595372.7
2016-08-25,7557430.95
2016-08-26,6878648.35
2016-08-27,4751406.45
2016-08-28,6081736.65
2016-08-29,9193348.4
2016-08-30,8938676.7
2016-08-31,8667551.15
2016-09-01,8969314.95
