PassengerId,Survived,Pclass,"Sex",Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,gp
1,0,3,male,22.0,1,0,A/ ,7.25,0,S,Mr,3.01547888584
2,1,1,female,38.0,1,0,PC ,71.2833,C,C,Mrs,-4.54542236161
3,1,3,female,26.0,0,0,STON/O. ,7.925,0,S,Miss,-1.01264970468
4,1,1,female,35.0,1,0,,53.1,C,S,Mrs,-4.57725354059
5,0,3,male,35.0,0,0,,8.05,0,S,Mr,2.48431597344
6,0,3,male,,0,0,,8.4583,0,Q,Mr,4.50605480311
7,0,1,male,54.0,0,0,,51.8625,E,S,Mr,2.52424527959
8,0,3,male,2.0,3,1,,21.075,0,S,Master,6.56898004517
9,1,3,female,27.0,0,2,,11.1333,0,S,Mrs,-2.88323769422
10,1,2,female,14.0,1,0,,30.0708,0,C,Mrs,-4.50523087457
11,1,3,female,4.0,1,1,PP ,16.7,G,S,Miss,-3.52026889642
12,1,1,female,58.0,0,0,,26.55,C,S,Miss,-3.91739888911
13,0,3,male,20.0,0,0,A/. ,8.05,0,S,Mr,1.47115092102
14,0,3,male,39.0,1,5,,31.275,0,S,Mr,9.52407966888
15,0,3,female,14.0,0,0,,7.8542,0,S,Miss,-0.251192655223
16,1,2,female,55.0,0,0,,16.0,0,S,Mrs,-1.86277085197
17,0,3,male,2.0,4,1,,29.125,0,Q,Master,8.5394429216
18,1,2,male,,0,0,,13.0,0,S,Mr,2.71533581083
19,0,3,female,31.0,1,0,,18.0,0,S,Mrs,1.76529308517
20,1,3,female,,0,0,,7.225,0,C,Mrs,-0.876922012606
21,0,2,male,35.0,0,0,,26.0,0,S,Mr,2.52857829245
22,1,2,male,34.0,0,0,,13.0,D,S,Mr,0.0156816937752
23,1,3,female,15.0,0,0,,8.0292,0,Q,Miss,-2.56112843086
24,1,1,male,28.0,0,0,,35.5,A,S,Mr,1.37358157172
25,0,3,female,8.0,3,1,,21.075,0,S,Miss,2.30233885834
26,1,3,female,38.0,1,5,,31.3875,0,S,Mrs,-1.00037066316
