PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,gp
1,0,3,male,22,1,0,A/,7.25,0,S,Mr,3.01547888584
2,1,1,female,38,1,0,PC,71.2833,C,C,Mrs,-4.54542236161
3,1,3,female,26,0,0,STON/O.,7.925,0,S,Miss,-1.01264970468
4,1,1,female,35,1,0,,53.1,C,S,Mrs,-4.57725354059
5,0,3,male,35,0,0,,8.05,0,S,Mr,2.48431597344
6,0,3,male,,0,0,,8.4583,0,Q,Mr,4.50605480311
7,0,1,male,54,0,0,,51.8625,E,S,Mr,2.52424527959
8,0,3,male,2,3,1,,21.075,0,S,Master,6.56898004517
9,1,3,female,27,0,2,,11.1333,0,S,Mrs,-2.88323769422
10,1,2,female,14,1,0,,30.0708,0,C,Mrs,-4.50523087457
11,1,3,female,4,1,1,PP,16.7,G,S,Miss,-3.52026889642
12,1,1,female,58,0,0,,26.55,C,S,Miss,-3.91739888911
13,0,3,male,20,0,0,A/.,8.05,0,S,Mr,1.47115092102
14,0,3,male,39,1,5,,31.275,0,S,Mr,9.52407966888
15,0,3,female,14,0,0,,7.8542,0,S,Miss,-0.251192655223
16,1,2,female,55,0,0,,16,0,S,Mrs,-1.86277085197
17,0,3,male,2,4,1,,29.125,0,Q,Master,8.5394429216
18,1,2,male,,0,0,,13,0,S,Mr,2.71533581083
19,0,3,female,31,1,0,,18,0,S,Mrs,1.76529308517
20,1,3,female,,0,0,,7.225,0,C,Mrs,-0.876922012606
21,0,2,male,35,0,0,,26,0,S,Mr,2.52857829245
22,1,2,male,34,0,0,,13,D,S,Mr,0.0156816937752
23,1,3,female,15,0,0,,8.0292,0,Q,Miss,-2.56112843086
24,1,1,male,28,0,0,,35.5,A,S,Mr,1.37358157172
25,0,3,female,8,3,1,,21.075,0,S,Miss,2.30233885834
26,1,3,female,38,1,5,,31.3875,0,S,Mrs,-1.00037066316
27,0,3,male,,0,0,,7.225,0,C,Mr,2.68486645332
28,0,1,male,19,3,2,,263,C,S,Mr,3.4634321062
29,1,3,female,,0,0,,7.8792,0,Q,Miss,-0.474436420754
30,0,3,male,,0,0,,7.8958,0,S,Mr,3.58576404563
31,0,1,male,40,0,0,PC,27.7208,0,C,Mr,2.34745967119
32,1,1,female,,1,0,PC,146.5208,B,C,Mrs,-2.88667702513
33,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
34,0,2,male,66,0,0,C.A.,10.5,0,S,Mr,1.6302554974
35,0,1,male,28,1,0,PC,82.1708,0,C,Mr,2.04136380767
36,0,1,male,42,1,0,,52,0,S,Mr,1.59581260575
37,1,3,male,,0,0,,7.2292,0,C,Mr,1.79792076346
38,0,3,male,21,0,0,A./.,8.05,0,S,Mr,3.60223935119
39,0,3,female,18,2,0,,18,0,S,Miss,2.81796411096
40,1,3,female,14,1,0,,11.2417,0,C,Miss,-2.31761723648
41,0,3,female,40,1,0,,9.475,0,S,Mrs,0.286912728028
42,0,2,female,27,1,0,,21,0,S,Mrs,-0.147712575166
43,0,3,male,,0,0,,7.8958,0,C,Mr,3.12094797461
44,1,2,female,3,1,2,SC/Paris,41.5792,0,C,Miss,-6.94242560621
45,1,3,female,19,0,0,,7.8792,0,Q,Miss,1.42251136596
46,0,3,male,,0,0,S.C./A..,8.05,0,S,Mr,3.07200296389
47,0,3,male,,1,0,,15.5,0,Q,Mr,2.58024714539
48,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
49,0,3,male,,2,0,,21.6792,0,C,Mr,2.52739026725
50,0,3,female,18,1,0,,17.8,0,S,Mrs,1.70615730887
